Date,Open,High,Low,Close,Adj Close,Volume
2017-05-01,2485.000000,2520.000000,2290.000000,2300.000000,1688.003174,70356000
2017-05-08,2330.000000,2370.000000,2140.000000,2195.000000,1815.398315,79043000
2017-05-15,2205.000000,2230.000000,2105.000000,2160.000000,1786.451172,79867500
2017-05-22,2200.000000,2210.000000,2105.000000,2150.000000,1778.180542,72874000
2017-05-29,2170.000000,2235.000000,2130.000000,2160.000000,1786.451172,52801000
2017-06-05,2200.000000,2300.000000,2165.000000,2250.000000,1860.886597,122574000
2017-06-12,2250.000000,2345.000000,2170.000000,2280.000000,1885.698486,87983500
2017-06-19,2300.000000,2395.000000,2265.000000,2390.000000,1976.675049,78102500
2017-06-26,2390.000000,2390.000000,2390.000000,2390.000000,1976.675049,0
2017-07-03,2360.000000,2515.000000,2350.000000,2480.000000,2051.110596,86108500
2017-07-10,2480.000000,2515.000000,2405.000000,2500.000000,2067.651855,28961000
2017-07-17,2530.000000,2675.000000,2515.000000,2630.000000,2175.169678,60721500
2017-07-24,2620.000000,2655.000000,2545.000000,2635.000000,2179.304932,49830000
2017-07-31,2635.000000,2725.000000,2620.000000,2705.000000,2237.199219,57984000
2017-08-07,2705.000000,2795.000000,2620.000000,2660.000000,2199.981445,44109500
2017-08-14,2690.000000,2690.000000,2610.000000,2630.000000,2175.169678,29535000
2017-08-21,2635.000000,2670.000000,2550.000000,2620.000000,2166.899170,39196500
2017-08-28,2640.000000,2640.000000,2410.000000,2475.000000,2046.975098,57625000
2017-09-04,2470.000000,2495.000000,2320.000000,2475.000000,2046.975098,51169500
2017-09-11,2480.000000,2515.000000,1860.000000,1925.000000,1592.091797,310110500
2017-09-18,1975.000000,2110.000000,1930.000000,2055.000000,1699.609741,115688500
2017-09-25,2060.000000,2100.000000,1810.000000,2090.000000,1728.556885,234561000
2017-10-02,2095.000000,2240.000000,2000.000000,2220.000000,1836.074707,163881000
2017-10-09,2220.000000,2275.000000,2165.000000,2215.000000,1831.939453,77681500
2017-10-16,2225.000000,2260.000000,2120.000000,2120.000000,1753.368652,113920500
2017-10-23,2130.000000,2230.000000,2090.000000,2185.000000,1807.127686,93563000
2017-10-30,2210.000000,2350.000000,2190.000000,2310.000000,1910.510132,113667000
2017-11-06,2310.000000,2420.000000,2265.000000,2375.000000,1964.269165,97337000
2017-11-13,2370.000000,2410.000000,2160.000000,2240.000000,1852.615967,113930500
2017-11-20,2240.000000,2265.000000,2135.000000,2160.000000,1786.451172,59919000
2017-11-27,2180.000000,2295.000000,2160.000000,2250.000000,1860.886597,73989000
2017-12-04,2260.000000,2315.000000,2175.000000,2210.000000,1827.804077,68143000
2017-12-11,2220.000000,2290.000000,2160.000000,2280.000000,1885.698486,171697100
2017-12-18,2290.000000,2590.000000,2240.000000,2520.000000,2084.193115,221600000
2017-12-25,2520.000000,2580.000000,2450.000000,2460.000000,2034.569336,51007600
2018-01-01,2460.000000,2620.000000,2430.000000,2610.000000,2158.628418,147163700
2018-01-08,2630.000000,2900.000000,2590.000000,2890.000000,2390.205566,196500200
2018-01-15,2910.000000,3170.000000,2900.000000,3120.000000,2580.429443,134998300
2018-01-22,3160.000000,3390.000000,3120.000000,3330.000000,2754.112305,200864200
2018-01-29,3320.000000,3480.000000,3180.000000,3300.000000,2729.300293,276741800
2018-02-05,3250.000000,3330.000000,3020.000000,3050.000000,2522.535156,129566600
2018-02-12,3100.000000,3340.000000,3060.000000,3240.000000,2679.676758,141618900
2018-02-19,3250.000000,3420.000000,3240.000000,3400.000000,2812.006348,122424000
2018-02-26,3400.000000,3430.000000,3060.000000,3070.000000,2539.076172,134518200
2018-03-05,3130.000000,3130.000000,2660.000000,2890.000000,2390.205566,186165500
2018-03-12,2950.000000,3060.000000,2750.000000,2810.000000,2324.040527,190814700
2018-03-19,2820.000000,2940.000000,2760.000000,2890.000000,2390.205566,72484100
2018-03-26,2870.000000,2980.000000,2850.000000,2940.000000,2431.558594,68790600
2018-04-02,2950.000000,3270.000000,2950.000000,3180.000000,2630.052979,129923700
2018-04-09,3190.000000,3570.000000,3170.000000,3430.000000,2836.818115,236143900
2018-04-16,3430.000000,3530.000000,3430.000000,3480.000000,2878.171143,63977900
2018-04-23,3370.000000,3400.000000,3280.000000,3330.000000,3031.590576,48077800
2018-04-30,3180.000000,3440.000000,3160.000000,3430.000000,3122.629395,66479200
