Date,Open,High,Low,Close,Adj Close,Volume
2019-04-29,1285.000000,1315.000000,1260.000000,1310.000000,1284.544189,39104100
2019-05-06,1300.000000,1305.000000,1140.000000,1205.000000,1205.000000,92232200
2019-05-13,1210.000000,1225.000000,1000.000000,1050.000000,1050.000000,102682300
2019-05-20,1055.000000,1115.000000,1020.000000,1075.000000,1075.000000,48108500
2019-05-27,1090.000000,1200.000000,1085.000000,1120.000000,1120.000000,89231800
2019-06-03,1120.000000,1120.000000,1120.000000,1120.000000,1120.000000,0
2019-06-10,1140.000000,1240.000000,1115.000000,1170.000000,1170.000000,129224600
2019-06-17,1170.000000,1190.000000,1080.000000,1140.000000,1140.000000,75530300
2019-06-24,1145.000000,1220.000000,1115.000000,1135.000000,1135.000000,93412400
2019-07-01,1150.000000,1165.000000,1010.000000,1055.000000,1055.000000,161045500
2019-07-08,1060.000000,1065.000000,1005.000000,1010.000000,1010.000000,101405100
2019-07-15,1025.000000,1130.000000,1015.000000,1085.000000,1085.000000,296133400
2019-07-22,1085.000000,1085.000000,1020.000000,1020.000000,1020.000000,69453100
2019-07-29,1025.000000,1060.000000,970.000000,995.000000,995.000000,84698400
2019-08-05,980.000000,1030.000000,900.000000,995.000000,995.000000,148515900
2019-08-12,1005.000000,1090.000000,965.000000,1045.000000,1045.000000,320012700
2019-08-19,1045.000000,1060.000000,970.000000,975.000000,975.000000,122163700
2019-08-26,955.000000,1015.000000,950.000000,980.000000,980.000000,115916400
2019-09-02,1005.000000,1285.000000,1000.000000,1175.000000,1175.000000,861782800
2019-09-09,1175.000000,1255.000000,1170.000000,1190.000000,1190.000000,395751500
2019-09-16,1180.000000,1180.000000,1070.000000,1120.000000,1120.000000,202838700
2019-09-23,1120.000000,1130.000000,1000.000000,1005.000000,1005.000000,135436900
2019-09-30,1015.000000,1015.000000,875.000000,910.000000,910.000000,285240300
2019-10-07,915.000000,930.000000,870.000000,895.000000,895.000000,174300500
2019-10-14,900.000000,945.000000,885.000000,930.000000,930.000000,203554200
2019-10-21,935.000000,960.000000,900.000000,925.000000,925.000000,161855500
2019-10-28,925.000000,935.000000,810.000000,815.000000,815.000000,143712400
2019-11-04,820.000000,850.000000,805.000000,830.000000,830.000000,93081900
2019-11-11,835.000000,840.000000,780.000000,790.000000,790.000000,62538900
2019-11-18,795.000000,805.000000,780.000000,785.000000,785.000000,40953600
2019-11-25,785.000000,800.000000,700.000000,705.000000,705.000000,60710400
2019-12-02,710.000000,755.000000,705.000000,735.000000,735.000000,25245000
